Question,1,2,3,Correct Answer
Which of these is a cruciferous vegetable?,Broccoli,Carrot,Rhubarb,Broccoli
Which of these aquatic animals is a mammal?,Dolphin,Tiger shark,Catfish,Dolphin
What band was the first to ever perform on Nickelodeon's All That'?,TLC,U2,No Doubt,TLC
Which of these is a real animal indigenous to Africa?,Aardwolf,Pyfrog,Jagfly,Aardwolf
"In the UN organization known as WHO, what does the H' stand for?",Health,Housing,Happiness,Health
Which of these planets has a solid surface?,Mars,Saturn,Jupiter,Mars
Which of these country artists is NOT a member of the Grand Ole Opry?,Faith Hill,Reba McEntire,Blake Shelton,Faith Hill
"According to old English folklore, Little John was whose sidekick?",Robin Hood,Al Capone,East Side Boyz,Robin Hood
Which has NOT been the central gimmick of an OK Go video?,Close-up magic tricks,Super slow-motion,Zero gravity,Close-up magic tricks
Which of these states is expected to report a significant population increase in the 2020 Census?,Oregon,New York,Alabama,Oregon
Which of these is the correct spelling for a common type of fragrance?,Cologne,Colone,Colonge,Cologne
Which of these foods would pescatarians most likely eat?,Sushi,BLT sandwich,Spaghetti bolognese,Sushi
What is the only country Denmark shares a land border with?,Germany,France,The Netherlands,Germany
Where is the official papal signet traditionally worn?,On a finger,Top of head,Around the neck,On a finger
What city is the capital of a country whose name means black mountain'?,Podgorica,Chi\xc8\x'in\xc4\x83u,Skopje,Podgorica
"Starting in the 1850s, most US military horsemen used a saddle named for who?",George McClellan,Ambrose Burnside,Stonewall Jackson,George McClellan
What practice often includes a pose called The Hundred'?,Pilates,Yoga,Tai chi,Pilates
Which of these animals does NOT spend much of its life in underground burrows?,Sole,Vole,Mole,Sole
"To make wired headphones work, you should plug them into what?",Jack,Yak,Shack,Jack
Which of these foods is typically made with potatoes?,Tater tots,Pecan pie,Cotton candy,Tater tots
A 1'6 addition to the constitution of Ireland legalized which of these practices?,Divorce,Marijuana use,Atheism,Divorce
What conflict is central to the plot of the classic film Gone With The Wind'?,Civil War,Revolutionary War,World War II,Civil War
Which of these physics terms gets its name from an Indian scientist?,Boson,Ferrimagnetism,Lepton,Boson
What best-selling video game franchise has NOT been set during a real historic conflict?,Gears of War,Call of Duty,Battlefield,Gears of War
Midnight in the Garden of Good and Evil' tells the true crime story of what city?,Savannah,Charleston,Atlanta,Savannah
"Earlier tonight on The Voice,' what Alicia Keys song did I reference?",Girl on Fire,Uptown Girl,Barbie Girl,Girl on Fire
Whiskers mainly help cats with which of these things?,Spatial awareness,Fighting infection,Digestion,Spatial awareness
The depths of outer space are closest to which of these temperatures?,Absolute zero,32 degrees F,212 degrees F,Absolute zero
What is the capital of the nation that lies entirely within the Pyrenees mountain range?,Andorra La Vella,San Marino,Vaduz,Andorra La Vella
What US state was one of the Ms' in the 3M Company's original name?,Minnesota,Missouri,Maryland,Minnesota
The Fonz' was a hit breakout character on what TV series?,Happy Days,Fonzie's Place,The Doo-Wop Years,Happy Days
"Commonly found in Central American cuisine, chorizo is a variety of what?",Sausage,Pepper,Cheese,Sausage
The Great Barrier Reef can be found off the coast of what country?,Australia,Argentina,Algeria,Australia
In what environment do flowers grow best?,Soil,Laundry hampers,Concrete,Soil
Apple Computer's unsuccessful gaming console went by what name?,Pippin,Fuji,Adam,Pippin
Which of these words refers to traditional Inuit footwear?,Mukluk,Anorak,Wampum,Mukluk
"Speaking up for music education, who is the only non-human to testify before Congress?",Elmo,Air Bud,Chewbacca,Elmo
The majority of which state's land was initially acquired through the Louisiana Purchase?,Montana,Texas,Illinois,Montana
Why did Anna Wintour's first cover of Vogue' cause a stir?,Model in jeans,Actor on the cover,No text,Model in jeans
Which of these recipes typically includes crustaceans?,Veal Oscar,Haggis,Clams casino,Veal Oscar
What title does Canada's head of state hold?,Queen,President,Prime Minister,Queen
Which of these Beatles albums has a title track?,Magical Mystery Tour,Abbey Road,Revolver,Magical Mystery Tour
"As viewed from Earth, what is the second-brightest naturally occurring object in the night sky?",Venus,Polaris,The Moon,Venus
"Now famous for another use, minoxidil was originally developed to help what?",Ulcers,Sore gums,Hair loss,Ulcers
A knit cap is known as what in Montr\xc3\xa9al?,Tuque,Aweille,\xc3\x8'harpe,Tuque
Legendary athlete Pel\xc3\xa9 famously made what term synonymous with soccer?,The beautiful game,Game of perfection,King of games,The beautiful game
Amelia Earhart became world-famous for flying solo across what?,Atlantic Ocean,Connecticut,Empire State Building,Atlantic Ocean
What style of dance is also the name of a sauce?,Salsa,Milly rock,Bartman,Salsa
Which of these is a common type of amusement park ride?,Roller coaster,Bowler poster,Solar toaster,Roller coaster
What is NOT one of the three ingredients in classic s'mores?,Peanut butter,Graham cracker,Chocolate,Peanut butter
American football games typically take place in a structure called what?,Stadium,Auditorium,Amphitheater,Stadium
Where does rain naturally fall from?,Clouds,Rainbow trout,Raindeer hooves,Clouds
Which of these slang military phrases is used to express appreciation?,Tango Yankee,Whiskey Charlie,Sierra Hotel,Tango Yankee
Jennifer Lopez first regularly appeared on what TV show?,In Living Color,Shades of Blue,Baywatch,In Living Color
Which of these figures from the American West did NOT work as a sheriff?,Butch Cassidy,Wild Bill Hickok,Bat Masterson,Butch Cassidy
"According to an old saying, time and tide' do what?",Wait for no man,Bake in a pan,Hate raisin bran,Wait for no man
The only person to win two solo Nobel Prizes won them in what fields?,Chemistry / Peace,Chemistry / Physics,Chemistry / Chemistry,Chemistry / Peace
Members of the band behind Dancing Queen' also co-wrote what '80s musical?,Chess,Starlight Express,Into the Woods,Chess
Which of these musical clefs is NOT commonly used?,E clef,F clef,G clef,E clef
"If an integer is a multiple of five, its last digit has to be either five or what?",Zero,Three,Six,Zero
What do the 13 stripes on the American flag represent?,First 13 states,Founding fathers,Year of US independence,First 13 states
Which country does NOT contain land that was once a part of the Ottoman Empire?,Belarus,Egypt,Greece,Belarus
The French word encore' literally translates to what?,Again,No more,Music please,Again
An item that is not quite good enough is often said to not cut the' what?,Mustard,Ketchup,Mayonnaise,Mustard
The Norse god Thor is famous for wielding what kind of weapon?,Hammer,Nunchucks,Cattle prod,Hammer
"By definition, which of these words can refer to a college graduation ceremony?",Commencement,Matriculation,Initiation,Commencement
Three consecutive strikes is known as a turkey in which of these sports?,Bowling,Cricket,Volleyball,Bowling
Which of these speeds is typically fastest?,Speed of light,Speed of sound,They're the same,Speed of light
What Canadian province's name is Latin for New Scotland'?,Nova Scotia,Ontario,Alberta,Nova Scotia
What word does Aretha Franklin spell out in her iconic 1967 hit?,Respect,Robocop,Ridonkulous,Respect
Which of these is a vehicle with three wheels?,Tricycle,Trick Daddy,Triceratops,Tricycle
Which of these is a common kind of apple?,Red Delicious,Golden Retriever,Plaid Surprise,Red Delicious
Which of these soul icons performed with a group whose name can also refer to fruit seeds?,Gladys Knight,Diana Ross,Martha Reeves,Gladys Knight
What is the most prominent color on the helmet of the NFL's Cleveland Browns?,Orange,Brown,Red,Orange
Caryn Johnson is the original name of what entertainer?,Whoopi Goldberg,Madonna,Pink,Whoopi Goldberg
Which of these is a country in the United Kingdom?,Wales,Denmark,Iceland,Wales
Which of these animals is a ruminant?,Deer,Hedgehog,Rattlesnake,Deer
Who was known to ancient Greeks as king of the gods?,Zeus,Hypnotoad,Nyx,Zeus
Which of these terms is used to refer to a group of scavenging birds of prey?,Venue,Span,Coalition,Venue
The classic American National Standards Institute recipe calls for what liquor in a martini?,Gin,Rye,Vodka,Gin
Which of these is NOT the name of a world-famous Olsen twin?,Elizabeth,Mary-Kate,Ashley,Elizabeth
Which of these is considered a primary color?,Red,Chartreuse,Vermillion,Red
Which of these is traditionally used to drive nails into walls?,Hammer,Stretch limo,Pillow,Hammer
The only lizard known to regularly swim in the ocean is a species of what?,Iguana,Komodo dragon,Gecko,Iguana
Which of these creates the most volatile reaction when added to vinegar?,Baking soda,Salt,Sugar,Baking soda
The Italian word morbido' literally translates to what in English?,Soft,Scary,Smart,Soft
With which three letters do the most country names end?,-NIA,-TAN,-RIA,-NIA
Which of these places has had the longest-reigning sovereign head of state?,Thailand,Japan,United Kingdom,Thailand
"Which of these albums is the overall top seller by a solo female artist, as certified by RIAA?",Come On Over,21,Jagged Little Pill,Come On Over
Mayday was the nickname of a character on what classic sitcom?,Cheers,Frasier,Murphy Brown,Cheers
Which of these animals typically do NOT grow antlers?,Female moose,Female reindeer,Male caribou,Female moose
Which of these is designed to clean windows?,Squeegee,Snorkel,Mallet,Squeegee
The lyric dark side of the moon' is sung in what Pink Floyd song?,Brain Damage,Eclipse,Any Colour You Like,Brain Damage
Which of these disputed territories is NOT claimed by the nation of Georgia?,Transnistria,Abkhazia,South Ossetia,Transnistria
What colors dominate the flag of the world's smallest nation?,Yellow / white,Red / white,Blue / white,Yellow / white
"By definition, if a Middle Eastern dish has dopiaza in its name, it will include what ingredient?",Onion,Tomato,Rice,Onion
Which of these is a weapon in the classic version of the board game Clue?,Wrench,Poison,Baseball bat,Wrench
What synonym for evil' comes from an old term referring to the left-hand side?,Sinister,Depraved,Malevolent,Sinister
"If planted properly, what kind of trees will acorns grow into?",Oaks,Willows,Pines,Oaks
Which of these kinds of chips would you use to make nachos?,Tortilla,Poker,Bargaining,Tortilla
What is the term in typography for adjusting the spacing between characters to create the best look?,Kerning,Blocking,Strafing,Kerning
Eggs that are fried without being flipped over are typically described how?,Sunny side up,Soft boiled,Over medium,Sunny side up
Who typically wins a marathon?,Fastest runner,Loudest yeller,Messiest eater,Fastest runner
Which of these songs was recorded by a band originally named On A Friday'?,Idioteque,Creeping,Just Like Heaven,Idioteque
Which of these terms accurately describes America's three most popular beer brands as of 2017?,Lager,Ale,IPA,Lager
Which of these shirts would an Australian most likely call a skivvy'?,Turtleneck,Sleeveless T-shirt,Crop top,Turtleneck
"In a trial, who is charged with proving guilt?",Prosecution,Defense,Judge,Prosecution
